,Time,CPS,CPM,WPS,WPM
0,16:45:10,6.89,413.51,1.35,81.08
0,16:45:24,7.75,464.79,1.41,84.51
0,17:11:35,4.2,251.85,0.62,37.04
0,17:11:46,7.25,435.29,0.98,58.82
0,17:11:57,6.67,400.0,1.11,66.67
0,17:12:05,7.46,447.89,1.41,84.51
0,17:12:12,8.85,531.15,1.64,98.36
0,17:12:17,10.75,645.0,2.5,150.0
0,17:12:26,5.84,350.65,1.3,77.92
0,17:12:33,8.62,516.92,1.54,92.31
0,17:12:40,8.15,488.89,1.85,111.11
0,17:12:53,7.09,425.45,1.82,109.09
0,17:13:05,7.01,420.69,1.26,75.86
0,17:13:14,6.23,374.03,1.3,77.92
0,00:19:16,7.69,461.54,1.1,65.93
0,00:19:30,7.54,452.17,1.45,86.96
0,00:19:39,7.04,422.22,1.23,74.07
0,00:19:47,8.51,510.45,1.49,89.55
0,00:19:56,7.47,448.0,1.33,80.0
0,00:20:03,9.31,558.62,1.72,103.45
0,00:20:12,7.22,432.91,1.27,75.95
0,00:20:20,7.95,476.71,1.37,82.19
0,00:20:28,7.12,427.27,1.52,90.91
